"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"99" "ANT1" "GO:0006635" "GO:0007031" "GO:0015867" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"100" "APA1" "GO:0009164" "GO:0009165" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"101" "APC1" "GO:0007067" "GO:0044267" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"102" "APC11" "GO:0044267" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"103" "APC2" "GO:0044267" "GO:0007067" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"104" "APC4" "GO:0044267" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"105" "APC5" "GO:0031497" "GO:0044267" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"106" "APC9" "GO:0031497" "GO:0016567" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"107" "APL2" "GO:0006896" "GO:0016192" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"108" "APL4" "GO:0016192" "GO:0006896" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"109" "APL5" "GO:0007034" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"110" "APL6" "GO:0007034" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"111" "APM1" "GO:0016192" "GO:0006896" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"112" "APM2" "GO:0006896" "GO:0016192" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"113" "APM3" "GO:0007034" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"114" "APP1" "GO:0030036" "GO:0044255" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"115" "APQ12" "GO:0006998" "GO:0044255" "GO:0006406" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"116" "APS1" "GO:0016192" "GO:0006896" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"117" "APS3" "GO:0007034" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"118" "APT1" "GO:0072522" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"119" "AQR1" "GO:0006855" "GO:0046942" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"120" "AQY1" "GO:0055085" "GO:0006833" "GO:0030437" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"121" "AQY2" "GO:0055085" "GO:0006833" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"122" "ARB1" "GO:0042254" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"123" "ARC1" "GO:0051351" "GO:0006418" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"124" "ARC15" "GO:0000001" "GO:0000147" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"125" "ARC18" "GO:0007015" "GO:0051646" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"126" "ARC19" "GO:0000001" "GO:0000147" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"127" "ARC35" "GO:0030036" "GO:0000226" "GO:0000001" "GO:0006898" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"128" "ARC40" "GO:0007015" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"129" "ARD1" "GO:0006464" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"130" "ARF1" "GO:0016482" "GO:0016236" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"131" "ARF3" "GO:0006897" "GO:0010513" "GO:0036267" "GO:0000282" "GO:0051666" "GO:0051017" "GO:0006886" NA NA NA NA NA NA NA NA NA NA NA NA
"132" "ARG2" "GO:1901607" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"133" "ARG5,6" "GO:1901607" "GO:0006355" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"134" "ARG7" "GO:1901607" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"135" "ARG8" "GO:1901607" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"136" "ARG80" "GO:0000821" "GO:0045944" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"137" "ARG82" "GO:0006796" "GO:0010468" "GO:0000821" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"138" "ARH1" "GO:0006879" "GO:0006744" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"139" "ARK1" "GO:0006468" "GO:0030036" "GO:0030100" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"140" "ARL1" "GO:0006886" "GO:0016192" "GO:0006897" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
